start;(1,0,0,mazda,anakin,all-terrain,50,100%,);(n.a.)
0;(1,0,0,toyota,anakin,all-terrain,50,100%,);(A2:toyota)
1;(1,0,0,toyota,anakin,mud,50,100%,);(A4:mud)
2;(1,0,0,toyota,anakin,mud,46,100%,);(A1)
3;(2,0,0,toyota,anakin,mud,42,100%,);(A1)
4;(2,0,0,toyota,anakin,mud,36,100%,);(A1)
5;(3,0,0,toyota,anakin,mud,30,100%,);(A1)
6;(3,0,0,toyota,anakin,mud,24,100%,);(A1)
7;(1,0,0,toyota,anakin,mud,18,100%,);(A1)
8;(1,0,0,toyota,anakin,mud,14,100%,);(A1)
9;(1,0,0,toyota,anakin,mud,10,100%,);(A1)
10;(1,0,0,toyota,anakin,mud,6,100%,);(A1)
11;(3,0,0,toyota,anakin,mud,2,100%,);(A1)
12;(3,0,0,mazda,anakin,mud,50,100%,);(A2:mazda)
13;(3,0,0,toyota,anakin,mud,50,100%,);(A2:toyota)
14;(3,0,0,toyota,anakin,mud,44,100%,);(A1)
15;(3,1,0,toyota,anakin,mud,38,100%,);(A1)
18;(5,0,0,toyota,anakin,mud,32,100%,);(A1)
19;(6,0,0,toyota,anakin,mud,28,100%,);(A1)
20;(7,0,0,toyota,anakin,mud,25,100%,);(A1)
21;(7,1,0,toyota,anakin,mud,22,100%,);(A1)
24;(9,0,0,toyota,anakin,mud,19,100%,);(A1)
25;(10,0,0,toyota,anakin,mud,14,100%,);(A1)
26;(13,0,0,toyota,anakin,mud,10,100%,);(A1)
27;(14,0,0,toyota,anakin,mud,5,100%,);(A1)
28;(14,0,0,mazda,anakin,mud,50,100%,);(A2:mazda)
29;(14,0,0,toyota,anakin,mud,50,100%,);(A2:toyota)
30;(15,0,0,toyota,anakin,mud,44,100%,);(A1)
31;(17,0,0,toyota,anakin,mud,41,100%,);(A1)
32;(18,0,0,toyota,anakin,mud,38,100%,);(A1)
33;(15,0,0,toyota,anakin,mud,33,100%,);(A1)
34;(16,0,0,toyota,anakin,mud,30,100%,);(A1)
35;(16,0,0,toyota,anakin,mud,27,100%,);(A1)
36;(18,0,0,toyota,anakin,mud,24,100%,);(A1)
37;(18,0,0,toyota,anakin,mud,19,100%,);(A1)
38;(19,0,0,toyota,anakin,mud,14,100%,);(A1)
39;(20,0,0,toyota,anakin,mud,8,100%,);(A1)
40;(20,0,0,toyota,anakin,mud,5,100%,);(A1)
41;(22,0,0,toyota,anakin,mud,2,100%,);(A1)
42;(22,0,0,mazda,anakin,mud,50,100%,);(A2:mazda)
43;(22,0,0,toyota,anakin,mud,50,100%,);(A2:toyota)
44;(22,0,0,toyota,anakin,mud,46,100%,);(A1)
45;(24,0,0,toyota,anakin,mud,42,100%,);(A1)
46;(25,0,0,toyota,anakin,mud,36,100%,);(A1)
47;(27,0,0,toyota,anakin,mud,33,100%,);(A1)
48;(26,0,0,toyota,anakin,mud,27,100%,);(A1)
49;(28,0,0,toyota,anakin,mud,22,100%,);(A1)
50;(29,0,0,toyota,anakin,mud,19,100%,);(A1)
51;(30,0,0,toyota,anakin,mud,14,100%,);(A1)
Goal reached, you bloody ripper!
