start;(1,0,0,go-kart,toad,all-terrain,50,100%,);(n.a.)
0;(1,0,0,ferarri,toad,all-terrain,50,100%,);(A2:ferarri)
1;(2,0,0,ferarri,toad,all-terrain,45,100%,);(A1)
2;(3,0,0,ferarri,toad,all-terrain,39,100%,);(A1)
3;(4,0,0,ferarri,toad,all-terrain,33,100%,);(A1)
4;(3,0,0,ferarri,toad,all-terrain,30,100%,);(A1)
5;(4,0,0,ferarri,toad,all-terrain,24,100%,);(A1)
6;(5,0,0,ferarri,toad,all-terrain,21,100%,);(A1)
7;(6,0,0,ferarri,toad,all-terrain,16,100%,);(A1)
8;(7,0,0,ferarri,toad,all-terrain,13,100%,);(A1)
9;(8,0,0,ferarri,toad,all-terrain,10,100%,);(A1)
10;(8,0,0,ferarri,toad,all-terrain,4,100%,);(A1)
11;(8,0,0,go-kart,toad,all-terrain,50,100%,);(A2:go-kart)
12;(8,0,0,ferarri,toad,all-terrain,50,100%,);(A2:ferarri)
13;(9,0,0,ferarri,toad,all-terrain,44,100%,);(A1)
14;(10,0,0,ferarri,toad,all-terrain,41,100%,);(A1)
15;(11,0,0,ferarri,toad,all-terrain,36,100%,);(A1)
16;(12,0,0,ferarri,toad,all-terrain,32,100%,);(A1)
17;(13,0,0,ferarri,toad,all-terrain,27,100%,);(A1)
18;(14,0,0,ferarri,toad,all-terrain,22,100%,);(A1)
19;(15,0,0,ferarri,toad,all-terrain,20,100%,);(A1)
20;(17,0,0,ferarri,toad,all-terrain,16,100%,);(A1)
21;(18,0,0,ferarri,toad,all-terrain,13,100%,);(A1)
22;(19,0,0,ferarri,toad,all-terrain,8,100%,);(A1)
23;(20,0,0,ferarri,toad,all-terrain,6,100%,);(A1)
24;(21,0,0,ferarri,toad,all-terrain,2,100%,);(A1)
25;(21,0,0,go-kart,toad,all-terrain,50,100%,);(A2:go-kart)
26;(21,0,0,ferarri,toad,all-terrain,50,100%,);(A2:ferarri)
27;(21,0,0,ferarri,toad,all-terrain,47,100%,);(A1)
28;(21,0,1,ferarri,toad,all-terrain,44,100%,);(A1)
32;(20,0,0,ferarri,toad,all-terrain,41,100%,);(A1)
33;(21,0,0,ferarri,toad,all-terrain,37,100%,);(A1)
34;(22,0,0,ferarri,toad,all-terrain,34,100%,);(A1)
35;(23,0,0,ferarri,toad,all-terrain,29,100%,);(A1)
36;(24,0,0,ferarri,toad,all-terrain,24,100%,);(A1)
37;(25,0,0,ferarri,toad,all-terrain,18,100%,);(A1)
38;(26,0,0,ferarri,toad,all-terrain,15,100%,);(A1)
39;(27,0,0,ferarri,toad,all-terrain,12,100%,);(A1)
40;(28,0,0,ferarri,toad,all-terrain,10,100%,);(A1)
41;(29,0,0,ferarri,toad,all-terrain,6,100%,);(A1)
42;(30,0,0,ferarri,toad,all-terrain,1,100%,);(A1)
Goal reached, you bloody ripper!
